time,gpp,chi,ci,ca
2008-11-27,19.733492,0.67250236,26.359592,39.196282
2008-12-11,11.131481,0.70896648,27.720133,39.099356
2008-12-25,14.290752,0.62870911,25.174335,40.041308
2009-01-08,27.525428,0.62198115,24.987752,40.174452
2009-01-22,22.453787,0.6797291,27.009396,39.735531
2009-02-05,36.960389,0.64817011,25.204676,38.885897
2009-02-19,41.966754,0.70765522,28.228584,39.890307
2009-03-05,50.965665,0.69266488,27.007619,38.990889
2009-03-19,79.109743,0.63316517,24.958759,39.419034
2009-04-02,178.52625,0.64498219,26.010866,40.328038
2009-04-16,176.27638,0.63963093,25.363677,39.653612
2009-04-30,169.44285,0.66451052,26.230809,39.47388
2009-05-14,209.53553,0.6733771,27.863704,41.379048
2009-05-28,150.78213,0.68253905,27.38964,40.129044
2009-06-11,164.07885,0.69689194,27.274106,39.136779
2009-06-25,152.34213,0.73828747,29.8115,40.379258
2009-07-09,168.72491,0.70505439,27.405237,38.869679
2009-07-23,180.37012,0.6916661,27.227665,39.365331
2009-08-06,193.38772,0.6962735,27.961369,40.1586
2009-08-20,174.21753,0.69200199,27.574431,39.847329
2009-09-03,124.76191,0.69531478,27.518122,39.576496
2009-09-17,116.58322,0.69838849,30.066555,43.051331
2009-10-01,60.045432,0.69139423,26.636787,38.526193
2009-10-15,40.864137,0.70433967,27.990502,39.740062
2009-10-29,39.572885,0.69078474,27.416104,39.688347
2009-11-12,39.625414,0.66255799,26.200296,39.544155
2009-11-26,25.743159,0.65875555,26.306821,39.934117
2009-12-10,10.717424,0.64869858,25.440252,39.217369
2009-12-24,15.507285,0.64486349,24.821291,38.490767
2010-01-07,11.583108,0.67051755,26.19572,39.067912
2010-01-21,22.146258,0.61363507,23.875533,38.908358
2010-02-04,30.008801,0.61989811,24.241304,39.105304
2010-02-18,59.917639,0.62349704,23.791282,38.157811
2010-03-04,55.851225,0.60762248,23.542018,38.744482
2010-03-18,115.43588,0.6380386,24.742623,38.779194
2010-04-01,104.57959,0.62453055,24.293617,38.899005
2010-04-15,159.83755,0.61768322,24.086801,38.995395
2010-04-29,129.50766,0.66296084,25.462267,38.406895
2010-05-13,115.6409,0.68619019,26.059906,37.977672
2010-05-27,149.00946,0.68649274,26.335089,38.361788
2010-06-10,197.04558,0.66939947,26.587441,39.718348
2010-06-24,234.02893,0.67782398,27.097243,39.976814
2010-07-08,202.15011,0.68948873,28.141376,40.814846
2010-07-22,151.96051,0.70148274,27.512147,39.219992
2010-08-05,123.58893,0.72255486,28.479463,39.41495
2010-08-19,138.09993,0.69269162,26.533756,38.305294
2010-09-02,116.23504,0.68807481,26.538665,38.569447
2010-09-16,93.458856,0.6827966,26.131072,38.270653
2010-09-30,97.259406,0.66833698,26.383225,39.475932
2010-10-14,56.365389,0.65035454,25.16503,38.694325
2010-10-28,42.637158,0.65255778,25.281328,38.7419
2010-11-11,23.001197,0.67603041,26.108827,38.620788
2010-11-25,15.622043,0.63748944,25.65243,40.239772
2010-12-09,9.8455942,0.66019587,26.084103,39.509643
2010-12-23,12.564929,0.65471972,26.317782,40.19702
2011-01-06,25.530125,0.67122826,25.92439,38.622316
2011-01-20,24.858207,0.64611003,25.696722,39.771434
2011-02-03,41.698165,0.61423309,23.898982,38.908653
2011-02-17,47.265553,0.57787628,23.248422,40.230795
2011-03-03,86.261412,0.60474506,24.344682,40.256106
2011-03-17,102.16403,0.62798545,25.408211,40.459872
2011-03-31,128.89603,0.64147874,25.334294,39.493584
2011-04-14,155.6632,0.62387349,25.465541,40.818437
2011-04-28,201.2251,0.61051325,24.419533,39.998367
2011-05-12,200.68724,0.65573192,26.219952,39.985779
2011-05-26,213.82973,0.6563277,25.781812,39.281919
2011-06-09,182.08707,0.68136752,26.831985,39.379607
2011-06-23,170.75459,0.69518618,27.208944,39.139075
2011-07-07,204.68077,0.70630952,27.988371,39.626212
2011-07-21,146.70894,0.72330621,28.199338,38.986722
2011-08-04,148.13499,0.73454064,29.305358,39.89617
2011-08-18,175.98633,0.71759498,29.227545,40.729862
2011-09-01,141.59358,0.71752614,27.170669,37.867149
2011-09-15,124.85508,0.72159134,28.712896,39.791075
2011-09-29,96.474571,0.70265779,27.804188,39.570027
2011-10-13,73.97213,0.67443554,26.678001,39.556042
2011-10-27,68.634909,0.71216225,29.417162,41.306825
2011-11-10,35.276129,0.71684144,29.45531,41.090412
2011-11-24,29.08871,0.67215844,26.274854,39.090268
2011-12-08,15.92051,0.67063119,25.695147,38.31487
2011-12-22,17.096586,0.71982217,28.018415,38.92408
2012-01-05,15.031918,0.71933826,27.868203,38.741444
2012-01-19,25.404646,0.69306565,27.489409,39.663499
2012-02-02,5.9083862,0.59054323,23.977343,40.60218
2012-02-16,42.841401,0.71289014,27.863492,39.085254
2012-03-01,56.983439,0.68611117,27.166117,39.594337
2012-03-15,145.27952,0.62725468,25.327838,40.378875
2012-03-29,80.878837,0.65277753,25.371757,38.867388
2012-04-12,139.14279,0.64433689,24.96364,38.743149
2012-04-26,182.77433,0.66695425,26.88494,40.310021
2012-05-10,204.92133,0.6408947,25.493561,39.778081
2012-05-24,190.37179,0.6729032,26.542056,39.444092
2012-06-07,182.48807,0.70217334,27.990588,39.862789
2012-06-21,183.10161,0.71569447,28.018558,39.148769
2012-07-05,184.7816,0.72320098,27.65296,38.236894
2012-07-19,201.06666,0.69597839,28.302958,40.666432
2012-08-02,182.52227,0.69187916,27.78422,40.15762
2012-08-16,170.17273,0.69147114,27.899541,40.348092
2012-08-30,117.03995,0.71362721,28.857667,40.438014
2012-09-13,126.7646,0.68179849,26.942587,39.516936
2012-09-27,90.37265,0.68572673,26.803962,39.088401
2012-10-11,77.695574,0.68680337,27.662042,40.276508
2012-10-25,31.395361,0.71697685,27.684168,38.61236
2012-11-08,34.393709,0.72709532,29.711712,40.863572
2012-11-22,16.01906,0.71148983,28.240963,39.692714
2012-12-06,15.069204,0.72760073,29.135847,40.043729
2012-12-20,18.442497,0.67748703,26.827387,39.598377
2013-01-03,12.495418,0.78249093,31.024745,39.648695
2013-01-17,13.17931,0.68387802,27.212265,39.79111
2013-01-31,27.660248,0.68196694,26.730021,39.195479
2013-02-14,18.305481,0.81066132,32.922785,40.612255
2013-02-28,48.991541,0.67722745,26.814247,39.594153
2013-03-14,66.91612,0.60150604,23.686168,39.378104
2013-03-28,60.097452,0.66673995,26.332224,39.493995
2013-04-11,149.18132,0.65564235,26.193494,39.950888
2013-04-25,119.10984,0.70873946,28.224914,39.824104
2013-05-09,179.01374,0.6851769,26.979187,39.375506
2013-05-23,90.009853,0.76146647,29.336184,38.525903
2013-06-06,213.98534,0.70331875,28.476137,40.488239
2013-06-20,176.6392,0.70083133,27.962421,39.898931
2013-07-04,216.10313,0.71212668,30.5558,42.907815
2013-07-18,213.19399,0.69795802,28.513161,40.852258
2013-08-01,182.82742,0.71441064,29.57174,41.393196
2013-08-15,153.87486,0.68552365,27.481082,40.087723
2013-08-29,127.09501,0.70937072,28.267692,39.848969
2013-09-12,69.228458,0.74678555,28.886631,38.681294
2013-09-26,105.14128,0.67009067,27.400621,40.890916
2013-10-10,56.449959,0.71402776,28.63252,40.100009
2013-10-24,55.188719,0.67026791,26.341049,39.299284
2013-11-07,27.696696,0.73206833,29.855274,40.782086
2013-11-21,17.008615,0.76032223,30.567588,40.203465
2013-12-05,25.310796,0.67728198,27.579171,40.720368
2013-12-19,22.487108,0.65535139,26.035121,39.726964
2014-01-02,25.569932,0.67084246,26.635504,39.704559
2014-01-16,14.794692,0.74468683,30.300547,40.68898
2014-01-30,46.735241,0.63611115,25.253796,39.700288
2014-02-13,66.653302,0.63957652,25.632983,40.078055
2014-02-27,84.618298,0.64376984,26.67765,41.439732
2014-03-13,85.591516,0.64062749,25.454639,39.733917
2014-03-27,135.45093,0.65704426,26.858188,40.877289
2014-04-10,136.2868,0.66837013,27.216581,40.720822
2014-04-24,145.22092,0.68998144,28.53079,41.350084
2014-05-08,160.73724,0.67835499,26.803394,39.512341
2014-05-22,189.89425,0.70040087,28.871221,41.220995
2014-06-05,225.78273,0.67334434,27.384682,40.669656
2014-06-19,168.94081,0.70515329,29.421914,41.724139
2014-07-03,196.93624,0.71287561,30.600632,42.925626
2014-07-17,195.48045,0.72238543,33.412848,46.253492
2014-07-31,179.17264,0.72468863,31.981555,44.131443
2014-08-14,150.58026,0.69500222,29.090744,41.857052
2014-08-28,115.36764,0.74493986,32.642977,43.819614
2014-09-11,95.491994,0.76549365,31.473085,41.114756
2014-09-25,99.295921,0.73684824,30.78273,41.776214
2014-10-09,74.948202,0.73800503,30.281126,41.031057
2014-10-23,59.957268,0.71653416,29.724753,41.48407
2014-11-06,32.484662,0.76941625,32.436909,42.157816
2014-11-20,18.689136,0.73213888,30.308494,41.397192
2014-12-04,14.933693,0.72688588,30.047538,41.337352
2014-12-18,13.359119,0.69482084,27.882649,40.129263
